states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
BR,Khagaria,0,0,0,0,881,2118,0,0,0,0,0,0,0,0,0,0,0,0,15402,32372,0,0,0,0,4/10/2020,0,0,1657599,10064,88,9976,148340,775019,222012,0
BR,East Champaran,0,0,0,0,2434,8014,0,1,0,0,0,0,0,1,2,0,0,0,29316,84760,2,0,0,0,3/11/2020,0,0,5082868,19017,430,18585,548132,2498559,1002939,3
BR,Nawada,0,0,0,0,4176,4338,0,0,0,0,0,0,0,0,1,0,0,0,46619,35295,1,0,0,0,11/16/2020,0,0,2216653,10353,178,10174,322514,1062349,274319,1
BR,Sheohar,0,0,0,0,666,1629,0,0,0,0,0,0,0,0,0,0,2,0,2946,7111,0,0,0,0,11/16/2020,0,0,656916,4404,36,4368,199431,300967,108766,0
BR,Purnia,0,0,0,0,2821,1959,0,0,0,0,0,0,0,0,0,0,0,0,61212,74531,0,0,0,0,5/1/2021,0,0,3273127,24427,180,24247,568756,1603099,729224,0
BR,Darbhanga,0,0,0,0,2858,5306,0,0,0,0,0,0,0,0,0,0,1,0,39165,82276,0,0,0,0,11/1/2021,0,0,3921971,10937,370,10567,448442,1869372,741553,0
BR,Arwal,0,0,0,0,262,1360,0,0,0,0,0,0,0,0,0,0,0,0,4059,17125,0,0,0,0,1/31/2021,0,0,700843,7381,74,7307,101624,345175,116424,0
BR,Aurangabad,0,0,0,0,1264,2657,0,0,0,0,0,0,0,0,0,0,0,0,25561,56431,0,0,0,0,1/31/2021,0,0,2511243,20011,75,19936,412007,1132482,407913,0
BR,Banka,0,0,0,0,2635,3138,0,0,0,0,0,0,0,0,0,0,0,0,24239,34077,0,0,0,0,1/31/2021,0,0,2029339,7379,112,7267,364776,935177,351254,0
BR,Bhagalpur,0,0,1,0,2122,3458,0,1,0,0,0,0,0,1,1,0,1,0,49875,78088,1,0,0,0,1/31/2021,0,0,3032226,25840,309,25531,582113,1494951,650332,2
BR,Bhojpur,0,0,0,0,3232,4879,0,0,0,0,0,0,0,0,0,0,0,0,31626,53006,0,0,0,0,1/31/2021,0,0,2720155,10210,159,10051,466438,1291186,382719,0
BR,Buxar,0,0,0,0,1083,2516,0,0,0,0,0,0,0,0,0,0,0,0,14794,38792,0,0,0,0,1/31/2021,0,0,1707643,9248,182,9066,461428,907374,322555,0
BR,Gaya,0,0,0,0,1708,1689,0,1,0,0,0,0,0,1,0,0,1,0,72504,82490,0,0,0,0,1/31/2021,0,0,4379383,33952,280,33672,872359,1925234,722746,1
BR,Gopalganj,0,0,0,0,5308,8468,0,0,0,0,0,0,0,0,0,0,1,0,31750,70093,0,0,0,0,1/31/2021,0,0,2558037,16685,94,16591,562654,1286763,481968,0
BR,Jamui,0,0,0,0,1435,1416,0,0,0,0,0,0,0,0,0,0,1,0,24440,24005,0,0,0,0,1/31/2021,0,0,1756078,9418,106,9312,342005,800488,222093,0
BR,Jehanabad,0,0,0,0,498,1617,0,0,0,0,0,0,0,0,0,0,0,0,12986,27200,0,0,0,0,1/31/2021,0,0,1124176,10783,109,10674,492255,498448,184446,0
BR,Kaimur,0,0,0,0,1067,2183,0,0,0,0,0,0,0,0,0,0,0,0,19996,28681,0,0,0,0,1/31/2021,0,0,1626900,4984,147,4837,442332,801438,225437,0
BR,Katihar,0,0,0,0,2680,2966,0,0,0,0,0,0,0,0,0,0,1,0,53448,75733,0,0,0,0,1/31/2021,0,0,3068149,18145,94,18051,556438,1451838,403046,0
BR,Kishanganj,3,0,1,0,1997,1445,3,0,0,0,0,0,0,0,4,0,2,0,24597,25592,4,0,0,0,1/31/2021,0,0,1690948,10128,66,10057,294321,757066,205274,7
BR,Lakhisarai,0,0,0,0,595,1005,0,0,0,0,0,0,0,0,0,0,0,0,8894,16437,0,0,0,0,1/31/2021,0,0,1000717,7776,102,7674,332434,461970,138407,0
BR,Madhepura,0,0,0,0,2700,4459,0,1,0,0,0,0,0,1,1,0,0,0,28832,43563,1,0,0,0,1/31/2021,0,0,1994618,12547,111,12435,455482,965767,260408,2
BR,Madhubani,2,0,0,0,2735,6686,2,0,0,0,0,0,0,0,3,0,0,0,28535,69785,3,0,0,0,1/31/2021,0,0,4476044,18365,339,18023,715168,1974159,680214,5
BR,Munger,0,0,0,0,851,2867,0,1,0,0,0,0,0,1,0,0,1,0,7445,33005,0,0,0,0,1/31/2021,0,0,1359054,15111,158,14953,325212,707588,264665,1
BR,Muzaffarpur,0,0,0,0,3545,7023,0,0,0,0,0,0,0,0,0,0,1,0,40686,80513,0,0,0,0,1/31/2021,0,0,4778610,31398,621,30777,722651,2253919,717015,0
BR,Nalanda,0,0,0,0,2168,1826,0,0,0,0,0,0,0,0,0,0,0,0,36716,66091,0,0,0,0,1/31/2021,0,0,2872523,23432,468,22964,591346,1393762,638181,0
BR,Patna,2,0,3,0,737,2024,2,14,0,0,0,0,0,14,14,0,8,0,35436,159875,14,0,0,0,1/31/2021,0,0,5772804,147007,2334,144651,676238,3421614,2366474,30
BR,Rohtas,0,0,0,0,4911,4149,0,0,0,0,0,0,0,0,2,0,0,0,40918,59698,2,0,0,0,1/31/2021,0,0,2962593,13980,271,13707,521553,1498172,465660,2
BR,Saharsa,0,0,0,0,28493,18126,0,0,0,0,0,0,0,0,0,0,0,0,106392,80718,0,0,0,0,1/31/2021,0,0,1897102,17616,134,17482,356327,995618,366567,0
BR,Samastipur,1,0,1,0,3216,5157,1,1,0,0,0,0,0,1,2,0,2,0,48167,64119,2,0,0,0,1/31/2021,0,0,4254782,20020,155,19864,614569,1991102,555728,4
